target	protocol	seed	depth	trials	?	!	?+!	complete	merged	incomplete	generated	completed	equivalent	time_ms
G3_176	RESET	46	1	2248487	5317	0	5317	164	493	0	657	true	true	12336.254
G3_176	RESET	47	1	2575008	5588	0	5588	164	493	0	657	true	true	14407.436
G3_176	RESET	48	1	2640812	5584	0	5584	164	493	0	657	true	true	14049.499
G3_176	RESET	49	1	2369974	5437	0	5437	164	493	0	657	true	true	11565.083
G3_176	RESET	50	1	2359303	5486	0	5486	164	493	0	657	true	true	13266.632
G3_176	RESET	51	1	2648437	5635	0	5635	164	493	0	657	true	true	14644.349
G3_176	BACK	42	1	29534	2629	2754	5383	164	493	0	657	true	true	245.206
G3_176	BACK	43	1	20817	2629	2787	5416	164	493	0	657	true	true	190.347
G3_176	BACK	44	1	20533	2629	2887	5516	164	493	0	657	true	true	191.958
G3_176	BACK	45	1	22281	2629	3116	5745	164	493	0	657	true	true	180.125
