target	protocol	seed	depth	trials	?	!	?+!	complete	merged	incomplete	generated	completed	equivalent	time_ms
G12_191	BACK	48	2	77874	12245	18661	30906	191	574	0	765	true	true	541.311
G12_191	BACK	49	2	79191	12245	19237	31482	191	574	0	765	true	true	499.799
G12_191	BACK	50	2	80081	12245	18810	31055	191	574	0	765	true	true	490.090
G12_191	BACK	51	2	73621	12245	18943	31188	191	574	0	765	true	true	450.391

SUMMARY (sample standard deviation, denominator n-1)
target	protocol	runs	depth	trials_mean	trials_sd	?_mean	?_sd	!_mean	!_sd	?+!_mean	?+!_sd	complete_mean	complete_sd	merged_mean	merged_sd	incomplete_mean	incomplete_sd	generated_mean	generated_sd	time_ms_mean	time_ms_sd	completed_runs	equivalent_runs
D1_10	BACK	10	2	493.200	143.708	71.000	0.000	74.900	11.229	145.900	11.229	8.000	0.000	9.000	0.000	0.000	0.000	17.000	0.000	1.408	0.303	10	10
D1_10	RESET	10	2	2528.900	835.487	149.800	23.920	0.000	0.000	149.800	23.920	8.000	0.000	9.000	0.000	0.000	0.000	17.000	0.000	3.285	0.822	10	10
D1_160	BACK	10	4	25557.200	2033.544	3999.000	0.000	6459.400	97.436	10458.400	97.436	124.000	0.000	125.000	0.000	0.000	0.000	249.000	0.000	91.256	4.579	10	10
D1_160	RESET	10	4	526379.200	68006.963	13408.900	270.020	0.000	0.000	13408.900	270.020	124.000	0.000	125.000	0.000	0.000	0.000	249.000	0.000	1800.060	581.585	10	10
D1_20	BACK	10	2	1687.300	1059.050	119.000	0.000	119.300	13.614	238.300	13.614	14.000	0.000	15.000	0.000	0.000	0.000	29.000	0.000	4.253	1.868	10	10
D1_20	RESET	10	2	14501.800	2881.253	248.500	16.284	0.000	0.000	248.500	16.284	14.000	0.000	15.000	0.000	0.000	0.000	29.000	0.000	34.836	17.616	10	10
D1_320	BACK	10	4	70786.000	10912.998	8383.000	0.000	13572.100	96.360	21955.100	96.360	261.000	0.000	262.000	0.000	0.000	0.000	523.000	0.000	541.024	378.455	10	10
D1_320	RESET	10	4	1519129.600	135183.525	28369.100	428.753	0.000	0.000	28369.100	428.753	261.000	0.000	262.000	0.000	0.000	0.000	523.000	0.000	8563.745	976.639	10	10
D1_40	BACK	10	3	4444.100	649.782	527.000	0.000	729.200	28.428	1256.200	28.428	32.000	0.000	33.000	0.000	0.000	0.000	65.000	0.000	11.804	1.602	10	10
D1_40	RESET	10	3	75979.900	16513.363	1417.900	89.988	0.000	0.000	1417.900	89.988	32.000	0.000	33.000	0.000	0.000	0.000	65.000	0.000	154.984	53.382	10	10
D1_640	BACK	10	4	227722.100	45312.986	16831.000	0.000	27323.000	118.114	44154.000	118.114	525.000	0.000	526.000	0.000	0.000	0.000	1051.000	0.000	1366.129	248.895	10	10
D1_640	RESET	10	4	8413591.500	927483.161	56857.600	634.367	0.000	0.000	56857.600	634.367	525.000	0.000	526.000	0.000	0.000	0.000	1051.000	0.000	63994.114	15054.718	10	10
D1_80	BACK	10	3	9173.500	2406.407	1087.000	0.000	1504.800	44.529	2591.800	44.529	67.000	0.000	68.000	0.000	0.000	0.000	135.000	0.000	23.326	4.143	10	10
D1_80	RESET	10	3	129726.600	20312.651	3009.800	112.617	0.000	0.000	3009.800	112.617	67.000	0.000	68.000	0.000	0.000	0.000	135.000	0.000	347.239	153.667	10	10
G09_86	BACK	10	1	13182.600	3401.225	1381.000	0.000	1529.500	48.729	2910.500	48.729	86.000	0.000	259.000	0.000	0.000	0.000	345.000	0.000	66.920	8.660	10	10
G10_191	BACK	10	2	76927.900	4677.411	12245.000	0.000	18831.200	230.280	31076.200	230.280	191.000	0.000	574.000	0.000	0.000	0.000	765.000	0.000	509.900	36.908	10	10
G11_94	BACK	10	1	12137.700	2554.544	1509.000	0.000	1662.900	61.576	3171.900	61.576	94.000	0.000	283.000	0.000	0.000	0.000	377.000	0.000	96.611	12.581	10	10
G12_191	BACK	10	2	76927.900	4677.411	12245.000	0.000	18831.200	230.280	31076.200	230.280	191.000	0.000	574.000	0.000	0.000	0.000	765.000	0.000	554.354	64.488	10	10
G1_176	BACK	10	1	21746.700	5182.553	2469.000	0.000	2692.000	124.794	5161.000	124.794	154.000	0.000	463.000	0.000	0.000	0.000	617.000	0.000	142.960	16.895	10	10
G1_176	RESET	10	1	2315267.700	115939.142	5176.600	119.051	0.000	0.000	5176.600	119.051	154.000	0.000	463.000	0.000	0.000	0.000	617.000	0.000	8864.624	475.880	10	10
G2_297	BACK	10	2	116521.100	8118.802	18517.000	0.000	28477.000	295.688	46994.000	295.688	289.000	0.000	868.000	0.000	0.000	0.000	1157.000	0.000	1025.087	86.692	10	10
G2_297	RESET	10	2	40332443.500	807105.713	62660.600	966.573	0.000	0.000	62660.600	966.573	289.000	0.000	868.000	0.000	0.000	0.000	1157.000	0.000	289712.139	40885.544	10	10
G3_176	BACK	10	1	22777.800	3854.237	2629.000	0.000	2866.600	109.546	5495.600	109.546	164.000	0.000	493.000	0.000	0.000	0.000	657.000	0.000	189.490	22.715	10	10
G3_176	RESET	10	1	2480919.000	146106.968	5514.100	121.486	0.000	0.000	5514.100	121.486	164.000	0.000	493.000	0.000	0.000	0.000	657.000	0.000	13840.175	1259.638	10	10
G4_297	BACK	10	2	116521.100	8118.802	18517.000	0.000	28477.000	295.688	46994.000	295.688	289.000	0.000	868.000	0.000	0.000	0.000	1157.000	0.000	973.361	64.203	10	10
G4_297	RESET	10	2	40332443.500	807105.713	62660.600	966.573	0.000	0.000	62660.600	966.573	289.000	0.000	868.000	0.000	0.000	0.000	1157.000	0.000	312432.153	24467.399	10	10
G5_86	BACK	10	3	126912.500	6057.758	22101.000	0.000	37641.100	423.858	59742.100	423.858	86.000	0.000	259.000	0.000	0.000	0.000	345.000	0.000	318.332	21.570	10	10
G6_191	BACK	10	4	1098333.700	5995.192	195925.000	0.000	343891.000	881.351	539816.000	881.351	191.000	0.000	574.000	0.000	0.000	0.000	765.000	0.000	4825.624	403.993	10	10
G7_94	BACK	10	4	539730.300	6365.539	96597.000	0.000	169309.000	609.081	265906.000	609.081	94.000	0.000	283.000	0.000	0.000	0.000	377.000	0.000	1499.329	66.846	10	10
G8_191	BACK	10	3	286330.800	9042.229	48981.000	0.000	83391.700	447.853	132372.700	447.853	191.000	0.000	574.000	0.000	0.000	0.000	765.000	0.000	1462.053	242.338	10	10
