BACK deterministic baseline before RESET-base migration
generated=2026-08-13 Europe/Lisbon
git_head=85bed0389a280863665fd31a2715e0320668cac3
compiler=Apple clang 21.0.0 arm64, -std=c++20 -O2
implementation=src/back.hpp (working tree at baseline generation time)
seeds=42..51
termination=BackLearner::stopCondition() (no trial cap)
equivalence=reachable deterministic mapping and complete-state surjectivity, matching learning_main.cpp::check_equivalence
timing_ms=informational_only_not_for_exact_comparison
sha256 src/back.hpp=24427c8a3bdd31bfd9d972830b94bed3fb6457c36f0f6cb29d77f6e148cba691
sha256 src/core/learnerAutomaton.hpp=3096178f7d3fd5ce2b572419588aa65145c4a820524e90473e51b5849a2b6e20
sha256 src/core/signature.hpp=a0062534f6b5def8667edfade30106ba87431bacca116d66082b3ebb27bb1fdd
sha256 src/examples/automata_examples.hpp=7f157e0917e7a9a59385706c7fecff3fb089d5d4d1768437a3816a1b318202f7
sha256 data/random/D1testAutomata10to640expStates.txt=ba096c2b7dbd27a41d9518e87aadfd7faf549011a5eb19ca3fcab4e03c99a8d8
sha256 data/results/GridsWithDistinctWalls/grid1.txt=365e01494773c40f2ebe7ea6d3cc9bcf0e24c7c2904a889bd03068dedebf6238
sha256 data/results/NoWallsNoLabelingHelp/grid1.txt=ccb290c7d1ba831e887603c57014cbc89b76c7c9f547a5afc88897a167804305
target_source two_state_flip src/examples/automata_examples.hpp
target_source degree_one_example src/examples/automata_examples.hpp
target_source degree_two_example src/examples/automata_examples.hpp
target_source D1_10 data/random/D1testAutomata10to640expStates.txt:1
target_source D1_80 data/random/D1testAutomata10to640expStates.txt:4
target_source D1_160 data/random/D1testAutomata10to640expStates.txt:5
target_source G1_176_labeled_wall data/results/GridsWithDistinctWalls/grid1.txt:1
target_source G5_86_no_wall_labels data/results/NoWallsNoLabelingHelp/grid1.txt:1
target	seed	depth	trials	?	!	?+!	merges	complete	merged	incomplete	generated	stopped	equivalent	timing_ms
D1_160	51	4	23377	3999	6285	10284	125	124	125	0	249	true	true	5.238
G1_176_labeled_wall	42	1	18349	2469	2699	5168	463	154	463	0	617	true	true	16.325
G1_176_labeled_wall	43	1	17236	2469	2643	5112	463	154	463	0	617	true	true	16.079
G1_176_labeled_wall	44	1	20953	2469	2562	5031	463	154	463	0	617	true	true	15.630
G1_176_labeled_wall	45	1	34003	2469	2951	5420	463	154	463	0	617	true	true	18.718
G1_176_labeled_wall	46	1	20260	2469	2599	5068	463	154	463	0	617	true	true	15.533
G1_176_labeled_wall	47	1	24502	2469	2825	5294	463	154	463	0	617	true	true	16.954
G1_176_labeled_wall	48	1	16878	2469	2529	4998	463	154	463	0	617	true	true	15.029
G1_176_labeled_wall	49	1	20249	2469	2688	5157	463	154	463	0	617	true	true	16.069
G1_176_labeled_wall	50	1	25839	2469	2710	5179	463	154	463	0	617	true	true	16.875
G1_176_labeled_wall	51	1	19198	2469	2714	5183	463	154	463	0	617	true	true	15.267
G5_86_no_wall_labels	42	3	125861	22101	37608	59709	259	86	259	0	345	true	true	24.213
G5_86_no_wall_labels	43	3	123339	22101	37451	59552	259	86	259	0	345	true	true	23.748
G5_86_no_wall_labels	44	3	121803	22101	37182	59283	259	86	259	0	345	true	true	22.901
G5_86_no_wall_labels	45	3	127739	22101	37812	59913	259	86	259	0	345	true	true	23.915
G5_86_no_wall_labels	46	3	124473	22101	37109	59210	259	86	259	0	345	true	true	24.289
G5_86_no_wall_labels	47	3	130048	22101	38406	60507	259	86	259	0	345	true	true	25.182
G5_86_no_wall_labels	48	3	121392	22101	37148	59249	259	86	259	0	345	true	true	23.432
G5_86_no_wall_labels	49	3	127455	22101	37884	59985	259	86	259	0	345	true	true	24.645
G5_86_no_wall_labels	50	3	124674	22101	37784	59885	259	86	259	0	345	true	true	23.585
G5_86_no_wall_labels	51	3	142341	22101	38027	60128	259	86	259	0	345	true	true	25.822
